msb	0	85070591730234615865843651857942052864	0
msb	1	-19938419936773723926457657295269527552	-100237205958731969533923198816426655744
msb	2	-8264141345021879123968	8690008141561076908032
msb	3	-17279963945203911070115974653289693184	-25861293619044044415348644517817352192
msb	4	0	730057365495766056960
msb	5	-14621507953634076963125119097906397184	-9769779268785393325822078805470085120
msb	6	-2951479051793528258560	21572925069424404201472
msb	7	-11963051962064231050218056368410066944	-2379598986860040841829089931459297280
msb	8	0	5209071393200155918336
msb	9	-9304595970494404026776925117494591488	1850799212002243559529975831779606528
msb	10	-17708874310761169551360	27127991331649486848
msb	11	-6646139978924591170435242475514757120	4440808758538804898419146864960995328
msb	12	-15347691069326346944512	4271832227647999442944
msb	13	-3987683987354728138949679343554527232	5967990835164020965835167554460450816
msb	14	9149585060559937601536	7509416520843664556032
msb	15	-1329227995784938304144600691095109632	6682480397248779000756173728020168704
id	0	-79753679747094952374228423616820674560	0
id	1	9969209968386876130328277256570404864	50118602979365994211694565147503755264
id	2	9304595970494411110326649421962412032	22463281784369660210687793850512048128
id	3	8639981972601964979790953065935273984	12930646809522012762941356519618248704
id	4	7975367974709509404522290970617708544	7975367974709497598606083796504674304
id	5	7310753976817046745703904570832322560	4884889634392688398769694380855918592
id	6	6646139978924591170435242475514757120	2752921316700591312104683454892867584
id	7	5981525981032111983334166031971123200	1189799493430021749080118272817364992
id	8	5316911983139663491615228241121378304	7734683648454484295680
id	9	4652297985247208506642376504509464576	-925399606001121779764987915889803264
id	10	3987683987354759424627628354954067968	-1651752790020348766245544414138073088
id	11	3323069989462289091963707291995209728	-2220404379269408942463487378242666496
id	12	2658455991569852406160976675258499072	-2658455991569825842849510533504172032
id	13	1993841993677362003439503416307482624	-2983995417582003399367859472762404864
id	14	1329227995784911002963371600958717952	-3209040254909952723589278461585260544
id	15	664613997892459559765382016580714496	-3341240198624386548899035070481825792
