exp	0	76201359508406144086108162329195173168	0
exp	1	0	-75462327482981010929732591801834267864
exp	2	82206460726474050179385148728921771719	0
exp	3	0	-62378762904272904571622519573888623801
exp	4	97098293416732629097600305219456855499	0
exp	5	0	-31471416178152430358852601914596611953
exp	6	109620372043870639737320939173783651180	0
exp	7	0	20868456044911447829692299230268924062
exp	8	97995759274018037306194755132115244812	0
exp	9	0	83254494006925109073099868507868875949
exp	10	38369120122842855712446721811003263673	0
exp	11	0	113787669655110863451684674786681535734
exp	12	-61235165364009198111122209480690033571	0
exp	13	0	55312394102720757898644017695156241698
exp	14	-118456231446026759188540160451923974650	0
exp	15	0	-76657869319988643285788486120509014816
exp	16	-26952640227261194763905894118541892848	0
exp	17	0	-110975036692357318664215943018894133477
exp	18	123176277792580374930872323065723168814	0
exp	19	0	65461984648789268549752845623099323173
exp	20	24199592598704844843639018288912304640	0
exp	21	0	103976832477728479972166721438522536183
exp	22	-149558889387913469944174072103565069088	0
exp	23	0	-157856569345896333137462968783752189608
exp	24	139363123687758077275148952782773192202	0
exp	25	0	108307390889710558441768332456126937807
exp	26	-76107584230786263566865857621046575334	0
exp	27	0	-49160286192750883756104910817563002643
exp	28	29517800212959227902043865999503838345	0
exp	29	0	16610367190529583398134186375537330573
exp	30	-8814719438731980321657801606283511560	0
exp	31	0	-4433225369106595370001465513431931046
exp	32	2121611396940476700602011891396966522	0
exp	33	0	969413689184253022482741228740206533
exp	34	-424123781880829375906288741430021479	0
exp	35	0	-178110049091476168426565764511850484
exp	36	71950375846198071501808575521349862	0
exp	37	0	28012594426088261941483051060830883
exp	38	-10528967284487014070098235228834198	0
exp	39	0	-3826412149487927199644353100957528
exp	40	1346384732986646374141373576436026	0
exp	41	0	459263298931367865662987911923740
exp	42	-152043828833303538796249154920542	0
exp	43	0	-48901534948157653133922884776047
exp	44	15305417609139069281700626960548	0
exp	45	0	4626479749297127615445055291356
exp	46	-1494210995158446546673318351371	0
